Drug,geneName,log2FoldChange,padj no NA
Enzalutamide,ZBTB40,-0.05568224,1
Enzalutamide,ZBTB40-IT1,0.601912233,1
Enzalutamide,EPHA8,-0.869421013,1
Enzalutamide,EPHB2,-0.116729813,1
Enzalutamide,TEX46,-0.575200318,1
Enzalutamide,KDM1A,-0.111581982,1
Enzalutamide,LUZP1,-0.146642001,1
Enzalutamide,HTR1D,0,1
Enzalutamide,AL109936.1,0.816642858,1
Enzalutamide,LINC01355,1.461571897,1
Enzalutamide,AL109936.6,2.837331917,1
Enzalutamide,HNRNPR,0.030914442,1
Enzalutamide,ZNF436,0.025129364,1
Enzalutamide,ZNF436-AS1,-0.160869424,1
Enzalutamide,AL109936.2,-0.882775299,1
Enzalutamide,TCEA3,0.091302514,1
Enzalutamide,ASAP3,0.103764988,1
Enzalutamide,E2F2,-0.087020045,1
Enzalutamide,AL021154.1,-2.000931726,1
Enzalutamide,ID3,0.431762548,1
Enzalutamide,RPL11,0.011774615,1
Enzalutamide,ELOA,-0.043356295,1
Enzalutamide,ELOA-AS1,0.582916232,1
Enzalutamide,PITHD1,-0.123006014,1
Enzalutamide,LYPLA2,-0.155161286,1
Enzalutamide,GALE,-0.043708647,1
Enzalutamide,HMGCL,0.012254418,1
Enzalutamide,FUCA1,0.037773578,1
Enzalutamide,BTBD6P1,0.065101292,1
Enzalutamide,AL590609.2,0,1
Enzalutamide,PNRC2,0.258010491,1
Enzalutamide,SRSF10,0.063957969,1
Enzalutamide,MYOM3,0,1
Enzalutamide,IL22RA1,-0.529534278,1
Enzalutamide,IFNLR1,-0.954653976,1
Enzalutamide,GRHL3,0.181120077,1
Enzalutamide,STPG1,-0.159833293,1
Enzalutamide,NIPAL3,-0.057367743,1
Enzalutamide,RCAN3,0.292294808,1
Enzalutamide,NCMAP,2.352722432,1
Enzalutamide,SRRM1,-0.121178292,1
Enzalutamide,CLIC4,-0.03742858,1
Enzalutamide,RUNX3,2.431127965,1
Enzalutamide,SYF2,0.058898521,1
Enzalutamide,AL031432.4,-0.673025265,1
Enzalutamide,AL031432.5,0.61180497,1
Enzalutamide,RSRP1,0.269547131,1
Enzalutamide,AL031432.3,0.192986629,1
Enzalutamide,AL031432.2,0.742219403,1
Enzalutamide,RHD,1.854154295,1
Enzalutamide,SDHDP6,0.141271282,1
Enzalutamide,AL928711.1,1.465989771,1
Enzalutamide,TMEM50A,0.055670596,1
Enzalutamide,RHCE,0.091960794,1
Enzalutamide,AL031284.1,-0.024064749,1
Enzalutamide,MACO1,-0.004910434,1
Enzalutamide,LDLRAP1,-0.083341604,1
Enzalutamide,AL606491.1,1.602780735,1
Enzalutamide,MAN1C1,-0.220099111,1
Enzalutamide,AL031280.1,0.968934916,1
Enzalutamide,SELENON,-0.09740839,1
Enzalutamide,AL020996.1,0.057716164,1
Enzalutamide,MTFR1L,-0.074553206,1
Enzalutamide,AUNIP,0.245716788,1
Enzalutamide,AL033528.2,-0.614523149,1
Enzalutamide,PAQR7,0.980465153,1
Enzalutamide,STMN1,-0.009711038,1
Enzalutamide,PAFAH2,0.003797968,1
Enzalutamide,EXTL1,-0.076310079,1
Enzalutamide,SLC30A2,0.651406337,1
Enzalutamide,PDIK1L,0.174495412,1
Enzalutamide,AL391650.1,0.492061534,1
Enzalutamide,CNKSR1,0.004949018,1
Enzalutamide,AL355877.1,2.521829546,1
Enzalutamide,AL355877.3,-0.880192157,1
Enzalutamide,CEP85,-0.076875713,1
Enzalutamide,AL355877.2,-1.85827696,1
Enzalutamide,SH3BGRL3,0.036789445,1
Enzalutamide,UBXN11,0.031172675,1
Enzalutamide,CRYBG2,0.164066194,1
Enzalutamide,LIN28A,0,1
Enzalutamide,DHDDS,-0.168591993,1
Enzalutamide,AL513365.1,0.639693607,1
Enzalutamide,AL513365.2,0.220555108,1
Enzalutamide,HMGN2,-0.027546318,1
Enzalutamide,RPS6KA1,0.009797924,1
Enzalutamide,AL512408.1,0.195105201,1
Enzalutamide,ARID1A,-0.095187625,1
Enzalutamide,PIGV,0.002545142,1
Enzalutamide,ZDHHC18,-0.163302102,1
Enzalutamide,SFN,-0.499840825,1
Enzalutamide,GPN2,-0.088982742,1
Enzalutamide,GPATCH3,-0.022253497,1
Enzalutamide,NUDC,-0.017186119,1
Enzalutamide,NR0B2,0.968931175,1
Enzalutamide,KDF1,-0.05409444,1
Enzalutamide,RPL12P13,0.731664777,1
Enzalutamide,OSTCP2,1.013486524,1
Enzalutamide,TRNP1,0.068652117,1
Enzalutamide,TENT5B,0.968926452,1
Enzalutamide,SLC9A1,0.028753515,1
Enzalutamide,CHCHD3P3,-3.213879147,1
Enzalutamide,NPM1P39,-0.09658992,1
Enzalutamide,WDTC1,-0.087893985,1
Enzalutamide,FO393419.3,1.478654745,1
Enzalutamide,TMEM222,-0.036998279,1
Enzalutamide,RNU6-48P,0.422104302,1
Enzalutamide,ACTG1P20,-0.341980185,1
Enzalutamide,SYTL1,0.118700335,1
Enzalutamide,MAP3K6,-0.161308058,1
Enzalutamide,FCN3,-1.908064659,1
Enzalutamide,CD164L2,0.278082689,1
Enzalutamide,GPR3,0.14263156,1
Enzalutamide,WASF2,-0.152002236,1
Enzalutamide,AHDC1,-0.169597902,1
Enzalutamide,AL031729.1,-0.168068781,1
Enzalutamide,IFI6,0.044192127,1
Enzalutamide,AL445490.1,0.00714008,1
Enzalutamide,FAM76A,0.069583278,1
Enzalutamide,AL020997.1,1.328335946,1
Enzalutamide,STX12,-0.084021732,1
Enzalutamide,AL020997.2,0.484805965,1
Enzalutamide,AL020997.3,0.007140091,1
Enzalutamide,PPP1R8,-0.007979964,1
Enzalutamide,THEMIS2,1.825382967,1
Enzalutamide,RPA2,0.00452927,1
Enzalutamide,SMPDL3B,0.02512029,1
Enzalutamide,AL512288.1,-0.485438069,1
Enzalutamide,XKR8,-0.152908828,1
Enzalutamide,EYA3,-0.035243997,1
Enzalutamide,AL512288.2,1.859738622,1
Enzalutamide,RN7SL559P,0.007140096,1
Enzalutamide,SPCS2P4,-0.073217043,1
Enzalutamide,AL137792.1,1.508751089,1
Enzalutamide,PTAFR,0.263050965,1
Enzalutamide,DNAJC8,-0.005505265,1
Enzalutamide,ATP5IF1,0.033122806,1
Enzalutamide,AL353622.1,0.451442477,1
Enzalutamide,AL353622.2,-2.440331121,1
Enzalutamide,SESN2,0.022534549,1
Enzalutamide,MED18,-0.105866319,1
Enzalutamide,PHACTR4,-0.079718916,1
Enzalutamide,CR391992.1,1.46734507,1
Enzalutamide,RCC1,-0.032738531,1
Enzalutamide,SNHG3,0.120032947,1
Enzalutamide,SNORA73B,-0.538622412,1
Enzalutamide,PRDX3P2,0.431565085,1
Enzalutamide,AL513497.1,-0.036230823,1
Enzalutamide,TRNAU1AP,0.0358475,1
Enzalutamide,SNHG12,0.173058453,1
Enzalutamide,SNORD99,1.866978802,1
Enzalutamide,TAF12,-0.010026743,1
Enzalutamide,RAB42,0.003959943,1
Enzalutamide,LINC01715,0.103528259,1
Enzalutamide,GMEB1,-0.070672459,1
Enzalutamide,YTHDF2,-0.005600875,1
Enzalutamide,OPRD1,1.171228563,1
Enzalutamide,AL009181.1,-1.843782326,1
Enzalutamide,EPB41,0.071349656,1
