canonical_smiles,pert_id,dummy
Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c8CC9(O)C%10Cc%11ccc(O)c%12OC(c8[nH]c67)C9(CCN%10CC%13CC%13)c%12%11,BRD-A11135865,1
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12,BRD-A11170096,1
Nc1ncn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,BRD-A11263757,1
CC(C)C1COc2cc3oc(=O)ccc3cc2O1,BRD-A11483079,1
CCOC(=O)CC(=O)Nc1ncnc2Oc3ccc4ccccc4c3C(c5ccccc5)c12,BRD-A11512624,1
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc3CCC(NC(=O)C)c4cc(=O)c(SC)ccc4-c3c1OC,BRD-A11605036,1
CN1CCC2(Cc3nc4ccccc4cc3CC2C1)c5cccc(O)c5,BRD-A11609859,1
COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)C4CCC5=O)OC(=O)C)[C@]1(C)c23,BRD-A11678676,1
CO[C@@H]([C@H]1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(C)C(C)O3)C(O)C(C)O2)C(O)C(C)O1)C(=O)[C@@H](O)[C@@H](C)O,BRD-A11702965,1
Cn1nc(N)c2cn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c3ncnc1c23,BRD-A11706664,1
CC(OC1OC(CO)C(O)C(O)C1O)/C=C/C2(O)C(C)CC(O)CC2(C)C,BRD-A11731846,1
Clc1ccc(C(Cn2ccnc2)OCC=C)c(Cl)c1,BRD-A11776908,1
CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1,BRD-A11813248,1
CC1CCc2c(C1)sc3nc(C)nc(N4CCN(CC4)C(=O)c5ccco5)c23,BRD-A11929187,1
COc1cccc(Cn2ncc3c4sc(cc4n(C)c3c2=O)S(C)=O)c1,BRD-A11968133,1
OC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,BRD-A11990600,1
CN1C2CCC1CC(C2)NC(=O)c3nn(C)c4ccccc34,BRD-A12016240,1
CCCn1ncc(CN2CCCC(C2)C(=O)c3cccc(OC(C)C)c3)c1C,BRD-A12083771,1
COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1,BRD-A12230535,1
CNC(=O)c1ccc2cc(ccc2c1)C1(O)CCn2cncc12,BRD-A12409803,1
OC1(CF)CCOC(=O)C1,BRD-A12426960,1
CCOC(=O)C1C(C(=C(C)N=C1C)C(=O)OC)c2cccc(c2)[N+](=O)[O-],BRD-A12560204,1
Cc1cc(C)c(NC(=O)C2CC3CCC2C3)c(C)c1,BRD-A12633378,1
Oc1cccnc1NC(=O)CCC2COc3ccccc3O2,BRD-A12643502,1
CN([N+][O-])C(=O)NC1C(O)OC(CO)C(O)C1O,BRD-A12832192,1
NCCc1c[nH]c2ccc(OC3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)cc12,BRD-A12881497,1
COC(=O)CS(=O)c1ccc(cc1[N+](=O)[O-])C(F)(F)F,BRD-A13020530,1
Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O,BRD-A13084692,1
CC(C)[C@@]12O[C@H]2[C@@H]3O[C@]34[C@]5(O[C@H]5CC6C7=C(CC[C@@]64C)C(=O)OC7)[C@@H]1O,BRD-A13122391,1
C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12,BRD-A13133631,1
COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)C1COc2ccccc2O1,BRD-A13188892,1
CCN(CC)c1ccc(cc1)C2Nc3ccccc3NC4=C2C(=O)CC(C4)c5ccccc5,BRD-A13195221,1
CCn1cc(CN2CCCC(C2)C(=O)c3cccc(c3)C(F)(F)F)cn1,BRD-A13346522,1
CC1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)CCC6(CCC54C)C(=O)OC7OC(CO)C(OC8OCC(OC9OC(CO)C(O)C(O)C9O)C(OC%10OCC(O)C(O)C%10O)C8O)C(O)C7O)C2(C)C)C(O)C(O)C1OC%11OCC(O)C(O)C%11O,BRD-A13367427,1
CC1CC(=O)C2C(O)(C1)CC(O)C34OC4c5c(O)cccc5C(=O)C23O,BRD-A13461302,1
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)C(N2C1=O)C(O)=O)-c1c(F)cccc1Cl,BRD-A13650332,1
OCC=C1C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1C1=CN2C5C(=CN(C31)c1ccccc41)[C@@H]1C[C@@H]3[C@@]5(CC[N@@+]3(CC=C)CC1=CCO)c1ccccc21,BRD-A13711138,1
CCOC(=O)C(C#N)C1c2cc(Br)ccc2OC(N)=C1C(=O)OCC,BRD-A13807286,1
