TCGA Up,TCGA Up Name,VPC Up,TCGA Down,TCGA Down Name,VPC Down,Consensus Up,Consensus Down
374393,FAM111B,,129852,C2orf73,,,
285512,FAM13AOS,,653140,C2orf84,,,
23359,FAM189A1,,84281,C2orf88,,,
54754,FAM22F,,389119,C3orf54,,,
83723,FAM57B,,152078,C3orf55,,,
54478,FAM64A,,285382,C3orf70,,,
346653,FAM71F2,,55286,C4orf19,,,
729533,FAM72A,,79625,C4orf31,,,
653820,FAM72B,,85438,C4orf35,,,
728833,FAM72D,,152641,C4orf38,,,
2191,FAP,,84709,C4orf49,,,
2194,FASN,,375444,C5orf34,,,
55336,FBXL8,,10826,C5orf4,,,
54738,FEV,,729,C6,,,
2867,FFAR2,,26238,C6orf123,,,
53834,FGFRL1,,387104,C6orf174,,,
2267,FGL1,,728464,C6orf186,,,
2272,FHIT,,387119,C6orf204,,,
440101,FLJ12825,,80737,C6orf27,,,
400710,FLJ26850,,730,C7,,,
2346,FOLH1,,136895,C7orf31,,,
219595,FOLH1B,,222950,C7orf51,,,
3169,FOXA1,,79974,C7orf58,,,
442425,FOXB2,,286122,C8orf31,,,
2297,FOXD1,,157869,C8orf84,,,
2298,FOXD4,,84302,C9orf125,,,
200350,FOXD4L1,,84688,C9orf24,,,
8928,FOXH1,,23732,C9orf4,,,
668,FOXL2,,770,CA11,,,
2305,FOXM1,,771,CA12,,,
121643,FOXN4,,23632,CA14,,,
2307,FOXS1,,760,CA2,,,
8325,FZD8,,761,CA3,,,
2562,GABRB3,,762,CA4,,,
2563,GABRD,,57685,CACHD1,,,
2571,GAD1,,781,CACNA2D1,,,
51083,GAL,,55799,CACNA2D3,,,
51809,GALNT7,,785,CACNB4,,,
442117,GALNTL6,,800,CALD1,,,
2650,GCNT1,,810,CALML3,,,
2657,GDF1,,83698,CALN1,,,
9518,GDF15,,57118,CAMK1D,,,
284161,GDPD1,,57172,CAMK1G,,,
2692,GHRHR,,815,CAMK2A,,,
2700,GJA3,,814,CAMK4,,,
2705,GJB1,,820,CAMP,,,
2731,GLDC,,23066,CAND2,,,
392465,GLOD5,,10486,CAP2,,,
92292,GLYATL1,,822,CAPG,,,
2762,GMDS,,827,CAPN6,,,
51764,GNG13,,388743,CAPN8,,,
51280,GOLM1,,84290,CAPNS2,,,
221914,GPC2,,9607,CARTPT,,,
26996,GPR160,,844,CASQ1,,,
2861,GPR37,,845,CASQ2,,,
84059,GPR98,,857,CAV1,,,
114787,GPRIN1,,858,CAV2,,,
116443,GRIN3A,,859,CAV3,,,
2925,GRPR,,140689,CBLN4,,,
145258,GSC,,147372,CCBE1,,,
284110,GSDMA,,223075,CCDC129,,,
83903,GSG2,,339965,CCDC158,,,
51512,GTSE1,,83643,CCDC3,,,
3026,HABP2,,84692,CCDC54,,,
84264,HAGHL,,160777,CCDC60,,,
54363,HAO1,,80323,CCDC68,,,
610,HCN2,,26112,CCDC69,,,
57801,HES4,,83987,CCDC8,,,
55502,HES6,,151887,CCDC80,,,
3008,HIST1H1E,,114800,CCDC85A,,,
3012,HIST1H2AE,,55704,CCDC88A,,,
8336,HIST1H2AM,,220388,CCDC89,,,
8347,HIST1H2BC,,881,CCIN,,,
8343,HIST1H2BF,,885,CCK,,,
8339,HIST1H2BG,,887,CCKBR,,,
8340,HIST1H2BL,,6366,CCL21,,,
8341,HIST1H2BN,,894,CCND2,,,
8348,HIST1H2BO,,645121,CCNI2,,,
8351,HIST1H3D,,79616,CCNJL,,,
8357,HIST1H3H,,51554,CCRL1,,,
8360,HIST1H4D,,57126,CD177,,,
8367,HIST1H4E,,4345,CD200,,,
8365,HIST1H4H,,50489,CD207,,,
8363,HIST1H4J,,29126,CD274,,,
8337,HIST2H2AA3,,146894,CD300LG,,,
126961,HIST2H3C,,948,CD36,,,
653604,HIST2H3D,,952,CD38,,,
92815,HIST3H2A,,958,CD40,,,
128312,HIST3H2BB,,168448,CDC14C,,,
121504,HIST4H4,,10602,CDC42EP3,,,
55355,HJURP,,1015,CDH17,,,
3101,HK3,,1016,CDH18,,,
3161,HMMR,,28513,CDH19,,,
10481,HOXB13,,1000,CDH2,,,
3221,HOXC4,,28316,CDH20,,,
3222,HOXC5,,64405,CDH22,,,
3223,HOXC6,,64072,CDH23,,,
3249,HPN,,1002,CDH4,,,
3263,HPX,,1006,CDH8,,,
9951,HS3ST4,,92211,CDHR1,,,
3293,HSD17B3,,65061,CDK15,,,
3299,HSF4,,5129,CDK18,,,
91156,IGFN1,,8814,CDKL1,,,
3589,IL11,,8999,CDKL2,,,
26525,IL1F5,,6792,CDKL5,,,
3642,INSM1,,1036,CDO1,,,
128239,IQGAP3,,1041,CDSN,,,
3665,IRF7,,4680,CEACAM6,,,
50805,IRX4,,1056,CEL,,,
91464,ISX,,10659,CELF2,,,
3681,ITGAD,,1952,CELSR2,,,
3687,ITGAX,,51286,CEND1,,,
9358,ITGBL1,,64781,CERK,,,
3747,KCNC2,,1066,CES1,,,
170850,KCNG3,,51716,CES4,,,
131096,KCNH8,,653275,CFC1B,,,
56660,KCNK12,,1675,CFD,,,
157855,KCNU1,,3075,CFH,,,
9808,KIAA0087,,1073,CFL2,,,
9768,KIAA0101,,1080,CFTR,,,
57535,KIAA1324,,94027,CGB7,,,
340390,KIAA1875,,1101,CHAD,,,
84960,KIAA1984,,26038,CHD5,,,
9928,KIF14,,1114,CHGB,,,
56992,KIF15,,63928,CHP2,,,
146909,KIF18B,,91851,CHRDL1,,,
10112,KIF20A,,89832,CHRFAM7A,,,
3834,KIF25,,1129,CHRM2,,,
11004,KIF2C,,1137,CHRNA4,,,
24137,KIF4A,,1139,CHRNA7,,,
3833,KIFC1,,50515,CHST11,,,
90990,KIFC2,,51363,CHST15,,,
152831,KLB,,9435,CHST2,,,
339451,KLHL17,,9469,CHST3,,,
